2025-05-07 22:33:52,792 - INFO - Training on device: cuda
2025-05-07 22:33:53,897 - INFO - Epoch 01: Loss = 313.9492, Accuracy = 5.96%
2025-05-07 22:33:54,632 - INFO - Epoch 02: Loss = 298.2969, Accuracy = 9.78%
2025-05-07 22:33:55,429 - INFO - Epoch 03: Loss = 286.8549, Accuracy = 12.23%
2025-05-07 22:33:56,078 - INFO - Epoch 04: Loss = 276.4346, Accuracy = 14.19%
2025-05-07 22:33:56,776 - INFO - Epoch 05: Loss = 265.7833, Accuracy = 16.35%
2025-05-07 22:33:57,438 - INFO - Epoch 06: Loss = 255.7064, Accuracy = 18.35%
2025-05-07 22:33:58,133 - INFO - Epoch 07: Loss = 247.1338, Accuracy = 21.33%
2025-05-07 22:33:58,819 - INFO - Epoch 08: Loss = 238.2316, Accuracy = 24.84%
2025-05-07 22:33:59,512 - INFO - Epoch 09: Loss = 229.2865, Accuracy = 27.60%
2025-05-07 22:34:00,148 - INFO - Epoch 10: Loss = 221.6359, Accuracy = 30.24%
2025-05-07 22:34:00,929 - INFO - Epoch 11: Loss = 213.9255, Accuracy = 33.60%
2025-05-07 22:34:01,929 - INFO - Epoch 12: Loss = 207.9612, Accuracy = 35.49%
2025-05-07 22:34:02,629 - INFO - Epoch 13: Loss = 199.6423, Accuracy = 39.56%
2025-05-07 22:34:03,279 - INFO - Epoch 14: Loss = 195.2837, Accuracy = 39.07%
2025-05-07 22:34:03,931 - INFO - Epoch 15: Loss = 189.0402, Accuracy = 40.28%
2025-05-07 22:34:04,617 - INFO - Epoch 16: Loss = 184.4516, Accuracy = 42.58%
2025-05-07 22:34:05,320 - INFO - Epoch 17: Loss = 180.4372, Accuracy = 41.53%
2025-05-07 22:34:06,026 - INFO - Epoch 18: Loss = 174.9944, Accuracy = 43.98%
2025-05-07 22:34:06,757 - INFO - Epoch 19: Loss = 170.5739, Accuracy = 45.41%
2025-05-07 22:34:07,428 - INFO - Epoch 20: Loss = 167.3398, Accuracy = 44.02%
2025-05-07 22:34:08,081 - INFO - Epoch 21: Loss = 164.0709, Accuracy = 45.53%
2025-05-07 22:34:08,801 - INFO - Epoch 22: Loss = 159.9972, Accuracy = 46.21%
2025-05-07 22:34:09,513 - INFO - Epoch 23: Loss = 155.9582, Accuracy = 47.83%
2025-05-07 22:34:10,129 - INFO - Epoch 24: Loss = 153.5485, Accuracy = 48.21%
2025-05-07 22:34:10,811 - INFO - Epoch 25: Loss = 151.1535, Accuracy = 48.74%
2025-05-07 22:34:11,572 - INFO - Epoch 26: Loss = 147.5839, Accuracy = 50.06%
2025-05-07 22:34:12,302 - INFO - Epoch 27: Loss = 145.7461, Accuracy = 49.49%
2025-05-07 22:34:12,966 - INFO - Epoch 28: Loss = 142.9562, Accuracy = 50.13%
