2025-05-12 09:12:41,008 - INFO - Training on device: cuda
2025-05-12 09:12:49,939 - INFO - Epoch 01: Loss = 10597.9458, Accuracy = 10.06%
2025-05-12 09:12:58,706 - INFO - Epoch 02: Loss = 8718.3796, Accuracy = 11.74%
2025-05-12 09:13:09,055 - INFO - Epoch 03: Loss = 7414.0992, Accuracy = 16.67%
2025-05-12 09:13:19,420 - INFO - Epoch 04: Loss = 6611.1330, Accuracy = 23.02%
2025-05-12 09:13:30,199 - INFO - Epoch 05: Loss = 6014.1187, Accuracy = 30.38%
2025-05-12 09:13:40,807 - INFO - Epoch 06: Loss = 5638.0476, Accuracy = 36.25%
2025-05-12 09:13:51,340 - INFO - Epoch 07: Loss = 5412.8143, Accuracy = 39.44%
2025-05-12 09:14:01,821 - INFO - Epoch 08: Loss = 5310.1157, Accuracy = 41.49%
2025-05-12 09:14:12,563 - INFO - Epoch 09: Loss = 5173.7614, Accuracy = 44.42%
2025-05-12 09:14:23,499 - INFO - Epoch 10: Loss = 5164.2542, Accuracy = 45.80%
2025-05-12 09:14:33,877 - INFO - Epoch 11: Loss = 5156.2248, Accuracy = 47.69%
2025-05-12 09:14:44,366 - INFO - Epoch 12: Loss = 5088.4250, Accuracy = 49.21%
2025-05-12 09:14:54,839 - INFO - Epoch 13: Loss = 5111.1315, Accuracy = 49.73%
2025-05-12 09:15:05,383 - INFO - Epoch 14: Loss = 5059.6033, Accuracy = 50.47%
2025-05-12 09:15:15,882 - INFO - Epoch 15: Loss = 5149.6837, Accuracy = 50.30%
2025-05-12 09:15:26,375 - INFO - Epoch 16: Loss = 5069.6721, Accuracy = 51.51%
2025-05-12 09:15:36,799 - INFO - Epoch 17: Loss = 4964.3865, Accuracy = 52.52%
2025-05-12 09:15:47,257 - INFO - Epoch 18: Loss = 4859.8349, Accuracy = 53.63%
2025-05-12 09:15:57,745 - INFO - Epoch 19: Loss = 4741.2481, Accuracy = 54.90%
2025-05-12 09:16:08,276 - INFO - Epoch 20: Loss = 4840.3865, Accuracy = 54.24%
2025-05-12 09:16:18,831 - INFO - Epoch 21: Loss = 4971.0835, Accuracy = 52.86%
2025-05-12 09:16:29,608 - INFO - Epoch 22: Loss = 4799.0232, Accuracy = 54.89%
2025-05-12 09:16:40,534 - INFO - Epoch 23: Loss = 4776.5124, Accuracy = 54.99%
2025-05-12 09:16:51,597 - INFO - Epoch 24: Loss = 4805.7244, Accuracy = 55.18%
2025-05-12 09:17:02,637 - INFO - Epoch 25: Loss = 4747.4062, Accuracy = 56.29%
2025-05-12 09:17:13,762 - INFO - Epoch 26: Loss = 4680.4697, Accuracy = 57.18%
2025-05-12 09:17:24,828 - INFO - Epoch 27: Loss = 4648.0641, Accuracy = 57.96%
2025-05-12 09:17:35,910 - INFO - Epoch 28: Loss = 4595.4980, Accuracy = 58.77%
2025-05-12 09:17:46,591 - INFO - Epoch 29: Loss = 4554.0080, Accuracy = 58.90%
2025-05-12 09:17:57,112 - INFO - Epoch 30: Loss = 4566.2570, Accuracy = 59.55%
2025-05-12 09:18:08,130 - INFO - Epoch 31: Loss = 4585.8789, Accuracy = 59.47%
2025-05-12 09:18:19,183 - INFO - Epoch 32: Loss = 4722.3376, Accuracy = 59.03%
