2025-05-07 23:02:35,368 - INFO - Training on device: cuda
2025-05-07 23:02:35,935 - INFO - Epoch 01: Loss = 280.6025, Accuracy = 5.43%
2025-05-07 23:02:36,094 - INFO - Epoch 02: Loss = 276.6516, Accuracy = 10.74%
2025-05-07 23:02:36,256 - INFO - Epoch 03: Loss = 271.0266, Accuracy = 12.88%
2025-05-07 23:02:36,486 - INFO - Epoch 04: Loss = 261.5718, Accuracy = 13.01%
2025-05-07 23:02:36,636 - INFO - Epoch 05: Loss = 248.8910, Accuracy = 12.53%
2025-05-07 23:02:36,784 - INFO - Epoch 06: Loss = 237.3116, Accuracy = 13.94%
2025-05-07 23:02:36,931 - INFO - Epoch 07: Loss = 226.5513, Accuracy = 18.01%
2025-05-07 23:02:37,086 - INFO - Epoch 08: Loss = 218.3127, Accuracy = 19.41%
2025-05-07 23:02:37,306 - INFO - Epoch 09: Loss = 211.2262, Accuracy = 21.25%
2025-05-07 23:02:37,593 - INFO - Epoch 10: Loss = 205.2598, Accuracy = 23.62%
2025-05-07 23:02:37,869 - INFO - Epoch 11: Loss = 200.4120, Accuracy = 23.49%
2025-05-07 23:02:38,139 - INFO - Epoch 12: Loss = 195.6001, Accuracy = 25.24%
2025-05-07 23:02:38,475 - INFO - Epoch 13: Loss = 191.3439, Accuracy = 25.46%
2025-05-07 23:02:38,678 - INFO - Epoch 14: Loss = 187.9527, Accuracy = 26.95%
2025-05-07 23:02:38,832 - INFO - Epoch 15: Loss = 184.6702, Accuracy = 27.78%
2025-05-07 23:02:38,987 - INFO - Epoch 16: Loss = 180.8527, Accuracy = 29.45%
2025-05-07 23:02:39,244 - INFO - Epoch 17: Loss = 178.0903, Accuracy = 30.98%
2025-05-07 23:02:39,469 - INFO - Epoch 18: Loss = 174.7140, Accuracy = 31.77%
2025-05-07 23:02:39,637 - INFO - Epoch 19: Loss = 172.2019, Accuracy = 32.47%
2025-05-07 23:02:39,794 - INFO - Epoch 20: Loss = 169.7414, Accuracy = 32.95%
2025-05-07 23:02:39,950 - INFO - Epoch 21: Loss = 167.4134, Accuracy = 34.31%
2025-05-07 23:02:40,108 - INFO - Epoch 22: Loss = 164.8583, Accuracy = 34.84%
2025-05-07 23:02:40,282 - INFO - Epoch 23: Loss = 162.1994, Accuracy = 35.63%
2025-05-07 23:02:40,546 - INFO - Epoch 24: Loss = 160.4104, Accuracy = 36.85%
2025-05-07 23:02:40,761 - INFO - Epoch 25: Loss = 158.2916, Accuracy = 37.95%
2025-05-07 23:02:40,914 - INFO - Epoch 26: Loss = 156.2130, Accuracy = 38.48%
2025-05-07 23:02:41,075 - INFO - Epoch 27: Loss = 154.0567, Accuracy = 38.91%
2025-05-07 23:02:41,246 - INFO - Epoch 28: Loss = 151.9347, Accuracy = 38.83%
2025-05-07 23:02:41,506 - INFO - Epoch 29: Loss = 150.3991, Accuracy = 40.89%
2025-05-07 23:02:41,673 - INFO - Epoch 30: Loss = 148.0035, Accuracy = 41.45%
2025-05-07 23:02:41,830 - INFO - Epoch 31: Loss = 145.9377, Accuracy = 42.38%
2025-05-07 23:02:41,983 - INFO - Epoch 32: Loss = 144.8227, Accuracy = 43.16%
2025-05-07 23:02:42,145 - INFO - Epoch 33: Loss = 142.0896, Accuracy = 43.12%
2025-05-07 23:02:42,316 - INFO - Epoch 34: Loss = 140.9451, Accuracy = 43.34%
2025-05-07 23:02:42,550 - INFO - Epoch 35: Loss = 139.6509, Accuracy = 44.65%
2025-05-07 23:02:42,712 - INFO - Epoch 36: Loss = 137.3779, Accuracy = 44.96%
2025-05-07 23:02:42,866 - INFO - Epoch 37: Loss = 135.7792, Accuracy = 45.66%
2025-05-07 23:02:43,024 - INFO - Epoch 38: Loss = 134.7021, Accuracy = 46.36%
2025-05-07 23:02:43,180 - INFO - Epoch 39: Loss = 132.0642, Accuracy = 47.11%
2025-05-07 23:02:43,512 - INFO - Epoch 40: Loss = 130.9927, Accuracy = 47.68%
2025-05-07 23:02:43,869 - INFO - Epoch 41: Loss = 129.5569, Accuracy = 47.41%
2025-05-07 23:02:44,171 - INFO - Epoch 42: Loss = 127.8768, Accuracy = 48.60%
2025-05-07 23:02:44,355 - INFO - Epoch 43: Loss = 126.5076, Accuracy = 49.08%
2025-05-07 23:02:44,609 - INFO - Epoch 44: Loss = 125.3024, Accuracy = 49.47%
2025-05-07 23:02:44,768 - INFO - Epoch 45: Loss = 123.2316, Accuracy = 50.48%
2025-05-07 23:02:44,921 - INFO - Epoch 46: Loss = 122.2993, Accuracy = 50.88%
2025-05-07 23:02:45,086 - INFO - Epoch 47: Loss = 121.3089, Accuracy = 51.58%
2025-05-07 23:02:45,255 - INFO - Epoch 48: Loss = 119.7575, Accuracy = 50.96%
2025-05-07 23:02:45,517 - INFO - Epoch 49: Loss = 118.2407, Accuracy = 52.10%
2025-05-07 23:02:45,671 - INFO - Epoch 50: Loss = 116.7296, Accuracy = 52.67%
2025-05-07 23:02:45,881 - INFO - Epoch 51: Loss = 115.5865, Accuracy = 53.90%
2025-05-07 23:02:46,038 - INFO - Epoch 52: Loss = 114.0028, Accuracy = 53.55%
2025-05-07 23:02:46,187 - INFO - Epoch 53: Loss = 113.1705, Accuracy = 53.68%
2025-05-07 23:02:46,359 - INFO - Epoch 54: Loss = 111.6744, Accuracy = 52.80%
2025-05-07 23:02:46,591 - INFO - Epoch 55: Loss = 110.9044, Accuracy = 54.25%
2025-05-07 23:02:46,755 - INFO - Epoch 56: Loss = 109.4499, Accuracy = 54.03%
