2025-05-08 07:54:56,340 - INFO - Training on device: cuda
2025-05-08 07:54:56,917 - INFO - Epoch 01: Loss = 319.6773, Accuracy = 4.04%
2025-05-08 07:54:57,137 - INFO - Epoch 02: Loss = 308.6592, Accuracy = 8.31%
2025-05-08 07:54:57,384 - INFO - Epoch 03: Loss = 297.6722, Accuracy = 12.95%
2025-05-08 07:54:57,645 - INFO - Epoch 04: Loss = 285.2347, Accuracy = 12.72%
2025-05-08 07:54:57,824 - INFO - Epoch 05: Loss = 273.9083, Accuracy = 11.10%
2025-05-08 07:54:58,018 - INFO - Epoch 06: Loss = 263.8463, Accuracy = 11.29%
2025-05-08 07:54:58,196 - INFO - Epoch 07: Loss = 256.1881, Accuracy = 11.74%
2025-05-08 07:54:58,453 - INFO - Epoch 08: Loss = 249.4640, Accuracy = 11.78%
2025-05-08 07:54:58,698 - INFO - Epoch 09: Loss = 244.0521, Accuracy = 14.08%
2025-05-08 07:54:58,877 - INFO - Epoch 10: Loss = 239.4651, Accuracy = 17.14%
2025-05-08 07:54:59,060 - INFO - Epoch 11: Loss = 235.5180, Accuracy = 18.35%
2025-05-08 07:54:59,248 - INFO - Epoch 12: Loss = 232.2910, Accuracy = 17.89%
2025-05-08 07:54:59,508 - INFO - Epoch 13: Loss = 228.9062, Accuracy = 18.04%
2025-05-08 07:54:59,698 - INFO - Epoch 14: Loss = 226.1984, Accuracy = 19.33%
2025-05-08 07:54:59,875 - INFO - Epoch 15: Loss = 223.3678, Accuracy = 19.67%
2025-05-08 07:55:00,071 - INFO - Epoch 16: Loss = 221.0395, Accuracy = 23.97%
2025-05-08 07:55:00,259 - INFO - Epoch 17: Loss = 218.5629, Accuracy = 24.80%
2025-05-08 07:55:00,610 - INFO - Epoch 18: Loss = 216.1513, Accuracy = 24.80%
2025-05-08 07:55:00,939 - INFO - Epoch 19: Loss = 213.8638, Accuracy = 25.10%
2025-05-08 07:55:01,174 - INFO - Epoch 20: Loss = 211.8061, Accuracy = 25.41%
2025-05-08 07:55:01,537 - INFO - Epoch 21: Loss = 209.6097, Accuracy = 26.35%
