2025-05-07 22:41:12,795 - INFO - Training on device: cuda
2025-05-07 22:41:13,811 - INFO - Epoch 01: Loss = 277.9289, Accuracy = 3.64%
2025-05-07 22:41:14,353 - INFO - Epoch 02: Loss = 267.6010, Accuracy = 8.19%
2025-05-07 22:41:15,066 - INFO - Epoch 03: Loss = 259.2482, Accuracy = 11.44%
2025-05-07 22:41:15,649 - INFO - Epoch 04: Loss = 249.4625, Accuracy = 15.56%
2025-05-07 22:41:16,183 - INFO - Epoch 05: Loss = 241.8306, Accuracy = 19.59%
2025-05-07 22:41:16,756 - INFO - Epoch 06: Loss = 234.2562, Accuracy = 21.82%
2025-05-07 22:41:17,336 - INFO - Epoch 07: Loss = 227.8149, Accuracy = 24.15%
2025-05-07 22:41:17,902 - INFO - Epoch 08: Loss = 219.8594, Accuracy = 26.95%
2025-05-07 22:41:18,503 - INFO - Epoch 09: Loss = 212.8550, Accuracy = 29.18%
2025-05-07 22:41:19,046 - INFO - Epoch 10: Loss = 205.8340, Accuracy = 31.73%
2025-05-07 22:41:19,641 - INFO - Epoch 11: Loss = 200.1850, Accuracy = 33.48%
2025-05-07 22:41:20,202 - INFO - Epoch 12: Loss = 192.4136, Accuracy = 36.99%
2025-05-07 22:41:20,856 - INFO - Epoch 13: Loss = 185.9287, Accuracy = 37.95%
2025-05-07 22:41:21,475 - INFO - Epoch 14: Loss = 180.0215, Accuracy = 38.78%
2025-05-07 22:41:22,032 - INFO - Epoch 15: Loss = 174.4283, Accuracy = 39.70%
2025-05-07 22:41:22,612 - INFO - Epoch 16: Loss = 168.6168, Accuracy = 42.20%
2025-05-07 22:41:23,148 - INFO - Epoch 17: Loss = 162.8571, Accuracy = 42.99%
2025-05-07 22:41:23,727 - INFO - Epoch 18: Loss = 157.3168, Accuracy = 45.40%
2025-05-07 22:41:24,262 - INFO - Epoch 19: Loss = 152.3785, Accuracy = 46.28%
2025-05-07 22:41:24,906 - INFO - Epoch 20: Loss = 147.0882, Accuracy = 48.12%
2025-05-07 22:41:25,496 - INFO - Epoch 21: Loss = 141.5127, Accuracy = 48.51%
2025-05-07 22:41:26,237 - INFO - Epoch 22: Loss = 137.5376, Accuracy = 48.95%
2025-05-07 22:41:26,945 - INFO - Epoch 23: Loss = 133.0720, Accuracy = 51.05%
2025-05-07 22:41:27,801 - INFO - Epoch 24: Loss = 129.0531, Accuracy = 53.07%
2025-05-07 22:41:28,553 - INFO - Epoch 25: Loss = 125.0617, Accuracy = 53.07%
2025-05-07 22:41:29,433 - INFO - Epoch 26: Loss = 122.6252, Accuracy = 54.86%
2025-05-07 22:41:30,225 - INFO - Epoch 27: Loss = 117.8866, Accuracy = 57.06%
2025-05-07 22:41:31,220 - INFO - Epoch 28: Loss = 113.0074, Accuracy = 58.98%
2025-05-07 22:41:32,617 - INFO - Epoch 29: Loss = 109.6503, Accuracy = 61.04%
2025-05-07 22:41:33,727 - INFO - Epoch 30: Loss = 106.1780, Accuracy = 61.09%
2025-05-07 22:41:35,261 - INFO - Epoch 31: Loss = 103.1819, Accuracy = 62.09%
2025-05-07 22:41:36,926 - INFO - Epoch 32: Loss = 99.6039, Accuracy = 63.37%
2025-05-07 22:41:38,504 - INFO - Epoch 33: Loss = 96.6842, Accuracy = 63.58%
2025-05-07 22:41:40,137 - INFO - Epoch 34: Loss = 93.7079, Accuracy = 65.38%
2025-05-07 22:41:41,685 - INFO - Epoch 35: Loss = 88.9342, Accuracy = 67.05%
2025-05-07 22:41:43,151 - INFO - Epoch 36: Loss = 88.2585, Accuracy = 66.65%
2025-05-07 22:41:44,651 - INFO - Epoch 37: Loss = 85.1119, Accuracy = 69.02%
2025-05-07 22:41:46,122 - INFO - Epoch 38: Loss = 83.1158, Accuracy = 68.27%
2025-05-07 22:41:47,675 - INFO - Epoch 39: Loss = 79.6964, Accuracy = 69.89%
2025-05-07 22:41:49,189 - INFO - Epoch 40: Loss = 78.3574, Accuracy = 70.82%
2025-05-07 22:41:50,719 - INFO - Epoch 41: Loss = 75.7155, Accuracy = 71.87%
2025-05-07 22:41:52,251 - INFO - Epoch 42: Loss = 74.2049, Accuracy = 72.52%
2025-05-07 22:41:53,776 - INFO - Epoch 43: Loss = 70.2120, Accuracy = 73.44%
2025-05-07 22:41:55,368 - INFO - Epoch 44: Loss = 67.2311, Accuracy = 75.28%
2025-05-07 22:41:57,025 - INFO - Epoch 45: Loss = 66.6385, Accuracy = 74.41%
2025-05-07 22:41:58,595 - INFO - Epoch 46: Loss = 64.5685, Accuracy = 75.77%
2025-05-07 22:42:00,124 - INFO - Epoch 47: Loss = 62.3063, Accuracy = 75.68%
2025-05-07 22:42:01,785 - INFO - Epoch 48: Loss = 60.3730, Accuracy = 77.56%
2025-05-07 22:42:03,291 - INFO - Epoch 49: Loss = 59.2743, Accuracy = 78.26%
2025-05-07 22:42:04,662 - INFO - Epoch 50: Loss = 55.1696, Accuracy = 78.75%
2025-05-07 22:42:06,444 - INFO - Epoch 51: Loss = 54.2100, Accuracy = 79.89%
2025-05-07 22:42:07,903 - INFO - Epoch 52: Loss = 52.0089, Accuracy = 81.33%
2025-05-07 22:42:09,617 - INFO - Epoch 53: Loss = 51.8574, Accuracy = 80.59%
2025-05-07 22:42:11,062 - INFO - Epoch 54: Loss = 49.1467, Accuracy = 81.73%
2025-05-07 22:42:12,578 - INFO - Epoch 55: Loss = 45.9814, Accuracy = 83.44%
2025-05-07 22:42:14,061 - INFO - Epoch 56: Loss = 47.1746, Accuracy = 82.16%
2025-05-07 22:42:15,721 - INFO - Epoch 57: Loss = 45.3020, Accuracy = 83.87%
2025-05-07 22:42:17,322 - INFO - Epoch 58: Loss = 43.8612, Accuracy = 83.61%
2025-05-07 22:42:18,736 - INFO - Epoch 59: Loss = 41.4777, Accuracy = 84.84%
2025-05-07 22:42:20,224 - INFO - Epoch 60: Loss = 38.0040, Accuracy = 86.77%
2025-05-07 22:42:21,721 - INFO - Epoch 61: Loss = 37.8062, Accuracy = 86.06%
2025-05-07 22:42:23,188 - INFO - Epoch 62: Loss = 36.9363, Accuracy = 86.72%
2025-05-07 22:42:24,810 - INFO - Epoch 63: Loss = 35.5458, Accuracy = 87.60%
2025-05-07 22:42:26,599 - INFO - Epoch 64: Loss = 36.0850, Accuracy = 87.34%
2025-05-07 22:42:28,144 - INFO - Epoch 65: Loss = 33.1987, Accuracy = 88.43%
2025-05-07 22:42:29,860 - INFO - Epoch 66: Loss = 32.8519, Accuracy = 87.51%
2025-05-07 22:42:31,321 - INFO - Epoch 67: Loss = 28.9386, Accuracy = 90.58%
2025-05-07 22:42:32,831 - INFO - Epoch 68: Loss = 30.7838, Accuracy = 88.87%
2025-05-07 22:42:34,100 - INFO - Epoch 69: Loss = 29.2948, Accuracy = 90.01%
2025-05-07 22:42:35,688 - INFO - Epoch 70: Loss = 26.7922, Accuracy = 91.50%
2025-05-07 22:42:37,228 - INFO - Epoch 71: Loss = 25.5801, Accuracy = 91.02%
2025-05-07 22:42:38,719 - INFO - Epoch 72: Loss = 26.0610, Accuracy = 91.06%
2025-05-07 22:42:40,220 - INFO - Epoch 73: Loss = 24.5490, Accuracy = 91.63%
2025-05-07 22:42:41,728 - INFO - Epoch 74: Loss = 23.4678, Accuracy = 91.98%
2025-05-07 22:42:42,953 - INFO - Epoch 75: Loss = 22.8080, Accuracy = 91.89%
2025-05-07 22:42:44,634 - INFO - Epoch 76: Loss = 22.2675, Accuracy = 92.59%
2025-05-07 22:42:46,386 - INFO - Epoch 77: Loss = 21.1146, Accuracy = 92.90%
2025-05-07 22:42:48,033 - INFO - Epoch 78: Loss = 21.0347, Accuracy = 92.86%
2025-05-07 22:42:49,548 - INFO - Epoch 79: Loss = 19.7516, Accuracy = 93.30%
2025-05-07 22:42:51,221 - INFO - Epoch 80: Loss = 18.9650, Accuracy = 94.08%
2025-05-07 22:42:52,525 - INFO - Epoch 81: Loss = 18.4996, Accuracy = 94.00%
2025-05-07 22:42:53,966 - INFO - Epoch 82: Loss = 17.0665, Accuracy = 94.61%
2025-05-07 22:42:55,564 - INFO - Epoch 83: Loss = 17.3385, Accuracy = 94.04%
2025-05-07 22:42:57,194 - INFO - Epoch 84: Loss = 18.4039, Accuracy = 93.08%
2025-05-07 22:42:58,608 - INFO - Epoch 85: Loss = 17.5886, Accuracy = 94.08%
2025-05-07 22:43:00,049 - INFO - Epoch 86: Loss = 16.1236, Accuracy = 94.83%
2025-05-07 22:43:01,406 - INFO - Epoch 87: Loss = 14.8708, Accuracy = 95.57%
2025-05-07 22:43:02,895 - INFO - Epoch 88: Loss = 15.1737, Accuracy = 94.92%
2025-05-07 22:43:04,594 - INFO - Epoch 89: Loss = 14.4438, Accuracy = 95.31%
2025-05-07 22:43:06,065 - INFO - Epoch 90: Loss = 14.6990, Accuracy = 94.74%
2025-05-07 22:43:07,414 - INFO - Epoch 91: Loss = 12.2642, Accuracy = 96.10%
2025-05-07 22:43:09,087 - INFO - Epoch 92: Loss = 12.6080, Accuracy = 95.40%
2025-05-07 22:43:10,705 - INFO - Epoch 93: Loss = 12.2826, Accuracy = 95.49%
2025-05-07 22:43:12,392 - INFO - Epoch 94: Loss = 11.4292, Accuracy = 96.49%
2025-05-07 22:43:13,938 - INFO - Epoch 95: Loss = 11.3432, Accuracy = 96.01%
2025-05-07 22:43:15,536 - INFO - Epoch 96: Loss = 11.6817, Accuracy = 96.06%
2025-05-07 22:43:17,248 - INFO - Epoch 97: Loss = 11.2697, Accuracy = 96.32%
2025-05-07 22:43:18,808 - INFO - Epoch 98: Loss = 10.3946, Accuracy = 96.58%
2025-05-07 22:43:20,191 - INFO - Epoch 99: Loss = 10.7172, Accuracy = 96.36%
2025-05-07 22:43:21,753 - INFO - Epoch 100: Loss = 10.9009, Accuracy = 96.28%
2025-05-07 22:43:23,181 - INFO - Epoch 101: Loss = 9.3249, Accuracy = 96.89%
2025-05-07 22:43:24,616 - INFO - Epoch 102: Loss = 10.4543, Accuracy = 96.41%
2025-05-07 22:43:26,185 - INFO - Epoch 103: Loss = 8.5958, Accuracy = 97.41%
2025-05-07 22:43:27,861 - INFO - Epoch 104: Loss = 8.4013, Accuracy = 97.15%
2025-05-07 22:43:29,457 - INFO - Epoch 105: Loss = 7.8275, Accuracy = 97.28%
2025-05-07 22:43:30,925 - INFO - Epoch 106: Loss = 8.1433, Accuracy = 97.33%
2025-05-07 22:43:32,437 - INFO - Epoch 107: Loss = 7.6781, Accuracy = 97.50%
2025-05-07 22:43:33,950 - INFO - Epoch 108: Loss = 7.7470, Accuracy = 97.11%
2025-05-07 22:43:35,573 - INFO - Epoch 109: Loss = 7.1579, Accuracy = 97.90%
2025-05-07 22:43:36,791 - INFO - Epoch 110: Loss = 7.5899, Accuracy = 97.33%
2025-05-07 22:43:38,354 - INFO - Epoch 111: Loss = 6.6576, Accuracy = 97.81%
2025-05-07 22:43:39,944 - INFO - Epoch 112: Loss = 7.1468, Accuracy = 97.55%
2025-05-07 22:43:41,616 - INFO - Epoch 113: Loss = 7.4073, Accuracy = 97.20%
2025-05-07 22:43:43,161 - INFO - Epoch 114: Loss = 7.7039, Accuracy = 97.41%
2025-05-07 22:43:44,605 - INFO - Epoch 115: Loss = 5.8183, Accuracy = 98.25%
